木耳-鸡骨粉混合凝胶体系的3D打印及质构特性调控,"['郑文祺', '蒙珍妮', '李红波', '张浩', '周威', '', '刘振彬']",食品工业科技,2021-10-27,期刊,,64
使用碳纤维和玻璃纤维的一种3D打印工艺,['叶轶'],玻璃纤维,2021-10-26,期刊,,59
AON3D和Astrobotic公司计划将3D打印部件送上月球,['陈济桁'],中国航空报,2021-10-26,报纸,,3
论我国3D打印安全的规制路径,['魏光禧'],武汉理工大学学报(社会科学版),2021-10-25,期刊,,81
3D打印多孔热固性聚酰亚胺含油复合材料,"['丁镜红', '杨昌', '王梓桐', '郭玉雄', '郭蕊', '', '宫琛亮', '王晓龙', '王齐华']",摩擦学学报,2021-10-25,期刊,,80
基于引文网络的颠覆性技术发展路径研究,"['刘云', '桂秉修', '王小黎']",科研管理,2021-10-25,期刊,,142
基于深度学习的3D打印球形粉末颗粒自动统计与测量（英文）,"['王祎超', '张政', '黄海洲', '林文雄']",红外与激光工程,2021-10-25,期刊,,13
3D打印图案定制在情侣装中的应用研究,"['王雪瑞', '田宝华']",轻纺工业与技术,2021-10-25,期刊,,26
探讨模具制造中3D打印技术的关键技术,['刘珌卿'],科技视界,2021-10-25,期刊,,100
3D打印矫形鞋垫的设计、制作及研究进展,"['钟旭', '王彩萍', '徐航', '王金武']",中国康复,2021-10-25,期刊,,62
不同3D打印技术塑料力学性能研究进展,"['张涛', '杜国芳', '张仲颖']",塑料科技,2021-10-25,期刊,,65
基于3D打印的某船用天线罩成型时间与使用材料研究,"['杜睿', '严厚伟', '李映晟']",舰船电子对抗,2021-10-25,期刊,,39
光固化3D打印中光敏树脂的研究进展,"['赵杰', '李伶', '沈涛', '王守兴', '屈忠宝', '', '毕鲁南', '邱坤']",山东陶瓷,2021-10-25,期刊,,196
逆向工程和3D打印技术在工业设计中的应用,['高志凯'],设备管理与维修,2021-10-25,期刊,,63
层厚对3D打印18Ni300马氏体钢组织和性能的影响,"['王金海', '刘建业', '牛留辉', '张佳琪', '陈远东']",应用激光,2021-10-25,期刊,,
科学家3D打印出高强度高塑性钛合金,['田瑞颖'],中国科学报,2021-10-25,报纸,,31
3D打印技术在公共艺术设计中的应用,['刘水'],,2021-10-23,国际会议,,40
3D语境下的模型与设计,['姜惠'],,2021-10-23,国际会议,,4
3D打印技术应用于潮玩制作的可行性研究,['张悦'],,2021-10-23,国际会议,,32
基于3D打印的潮玩三维建模特征研究,['齐宇航'],,2021-10-23,国际会议,,16
基于3D打印技术的珠宝产品创新设计,"['袁名杰', '王靓']",,2021-10-23,国际会议,,57
FDM制备晶格点阵结构体的一种卡扣式打印方法的研究,"['李振华', '王健', '石学智']",机械科学与技术,2021-10-21,期刊,,46
可用作3D打印基材的聚（乳酸-乙烯基吡咯烷酮）材料的制备与性能,"['王勇', '胡少东', '牛亚鹏', '张东豫', '罗灿选', '', '郝辉', '唐中岚', '李赛']",高分子材料科学与工程,2021-10-21,期刊,,48
Braskem的3D打印碳纤维增强聚丙烯在Ultimaker市场推出,['钱伯章'],合成纤维,2021-10-21,期刊,,15
3D打印技术在铸件开发中的应用,['卢宝胜'],['2021中国铸造活动周论文集'],2021-10-21,中国会议,,36
改进3D打印砂型性能方法研究,"['陈瑞', '李景明', '宋照伟']",['2021中国铸造活动周论文集'],2021-10-21,中国会议,,6
3D打印技术在校园文创产品中的应用,"['陈梓烁', '林宏涛', '潘灿杰', '李涵武', '王童', '', '黄健熹']",电子技术,2021-10-20,期刊,,104
3D技术在艺术铸造领域中的应用及进展,"['范小宁', '文红艳', '范晓明']",特种铸造及有色合金,2021-10-20,期刊,,61
3D打印技术在食品加工领域中的应用,"['师平', '白亚琼']",食品工业,2021-10-20,期刊,,335
新型3D打印用trimal-05AM铝合金,[],铝加工,2021-10-20,期刊,,27
纳米氧化铝改性3D打印光敏材料的制备及性能研究,"['刘莹莹', '陈进', '宁蕾', '赵坤', '孙建科', '', '刘璐', '孙小青', '郭智锋']",塑料工业,2021-10-20,期刊,,52
3D打印碳纤维/聚酯复合材料的制备与研究,"['王晨蕾', '胡浩', '乔雯钰', '杨飏', '顾哲明']",塑料工业,2021-10-20,期刊,,63
柔性夹钳的拓扑优化设计及其3D打印制造,"['郭南辛', '王冲', '王强龙', '陈苡生', '刘震宇']",机械设计与研究,2021-10-20,期刊,,7
光固化3D打印与传统涂膜法制备聚酰亚胺的摩擦学性能比较研究,"['姚昕乐', '孙初锋', '郭玉雄', '张晓琴', '姬忠莹', '', '郭蕊', '王晓龙', '王齐华']",摩擦学学报,2021-10-19,期刊,,89
国外核领域3D打印技术发展综述,"['郭慧芳', '李宗洋', '仇若萌']",['中国核科学技术进展报告（第七卷）——中国核学会2021年学术年会论文集第8册（核情报分卷）'],2021-10-19,中国会议,,107
3D打印Al2O3陶瓷力学性能的影响因素分析,"['丁国强', '罗旭东', '满奕然', '谢志鹏', '徐广平']",陶瓷学报,2021-10-18,期刊,,163
3D打印控制系统研究综述,"['葛正浩', '岳奇', '吉涛']",现代制造工程,2021-10-18,期刊,,188
基于3D打印的塑料板波纹填料整砌单元,"['丁文捷', '董玉钢', '史兴龙', '肖玲玉', '郝洪涛', '', '李宏燕']",塑料,2021-10-18,期刊,,13
基于NB-IoT的3D打印远程更新系统,"['徐婷婷', '王宜怀', '张蓉', '叶柯阳']",计算机工程与设计,2021-10-16,期刊,,29
点阵材料及其3D打印,"['陶斯嘉', '王小锋', '曾婧', '易兵', '彭超群', '', '王日初']",中国有色金属学报,2021-10-15,期刊,,256
形状记忆聚氨酯3D打印参数对其形变能力影响分析,"['武力', '冯铭龙', '黄伟']",大连交通大学学报,2021-10-15,期刊,,35
3D打印技术在关节置换中的应用,"['康雅平', '郭静', '王振国']",金属功能材料,2021-10-15,期刊,,88
德国弗劳恩霍夫研究所使用AI显著改善金属3D打印的结果,[],金属功能材料,2021-10-15,期刊,,17
数字化复合3D打印技术在文物领域的研究及应用,"['李英', '孙茂银', '吴健', '于云峰']",计算机时代,2021-10-15,期刊,,59
CBL结合3D打印模型的教学方法在下肢骨折临床教学中的应用,"['黄晓文', '刘久翔']",科技视界,2021-10-15,期刊,,7
3D打印用PLA基材料功能化改性研究,"['丁诗娟', '李佳新', '陈慧榕', '朱西诗', '裴培']",绿色包装,2021-10-15,期刊,,76
理化所高性能水溶性双光子光功能材料及仿生水凝胶微纳3D打印研究获进展,['新型'],化工新型材料,2021-10-15,期刊,,33
DLP型3D打印机参数对树脂影响的研究,['席晓华'],山西化工,2021-10-15,期刊,,20
3D打印技术对服装设计范式的改变与重构,"['严洁如', '黄玉冰']",美与时代(上),2021-10-13,期刊,,117
